Blog	hands	support	ask	customers	questions	doesn	anyone	our	job	hard	way	able	work	know	making	most	often	never	met	m	going	make	even	mean	part	personal	experience	made	times	those	still	ways	china	us	working	hours	per	week	works	question	run	company	write	should	product	too	listen	learn	same	used	itself	great	always	kind	design	small	also	says	huge	front	must	thing	wouldn	really	would	come	then	trying	d	say	such	back	took	twitter	his	others	own	stories	before	long	something	down	today	released	episode	into	apple	keep	only	number	problems	getting	better	fact	many	problem	makes	isn	start	these	comes	might	did	order	code	red	aren	online	feel	security	team	wrote	blog	post	data	using	access	morning	another	book	good	news	won	age	users	least	school	every	why	course	seem	well	seems	didn	things	different	students	probably	less	while	bad	little	bit	rather	go	think	happy	easter	house	late	night	saturday	real	see	plan	asked	america	report	her	she	talking	point	enough	white	friday	friend	reading	sometimes	far	yet	buy	page	written	together	five	women	research	interview	special	until	putting	line	fire	said	war	children	who	them	u	want	impeachment	read	mueller	through	let	its	lives	believe	deep	country	side	trump	full	may	already	administration	need	once	again	example	both	third	level	take	whole	almost	anything	does	days	talk	find	answer	because	he	power	chance	stuff	thought	public	two	end	right	next	service	between	cars	along	worth	very	use	features	car	legal	whatever	driving	old	without	being	turn	happen	step	learning	maybe	few	weeks	update	big	important	reason	off	having	help	much	change	second	doing	set	entire	couple	including	via	com	april	man	since	nbsp	years	view	pay	against	billion	recent	knew	president	three	last	gift	list	any	everything	high	easy	nothing	given	me	appeared	case	co	him	global	weekend	short	friends	recently	share	favorite	sure	built	try	official	cost	six	left	ten	death	however	especially	someone	else	photos	san	art	giving	four	social	media	possible	launch	matter	early	starting	haven	place	best	love	type	ll	put	machine	whether	turned	though	google	app	called	went	live	games	actually	am	posts	past	future	phone	services	show	release	source	were	idea	website	top	tech	site	later	similar	across	technology	link	yourself	text	web	group	b	each	goes	process	pick	based	members	current	look	home	thanks	free	around	open	could	create	add	user	where	added	screen	fun	happens	saw	yesterday	name	smart	living	likely	perhaps	search	results	wrong	links	hand	simple	photo	record	game	needed	ago	street	world	thrones	everyone	gets	ready	dead	seven	characters	spend	john	universe	building	lot	happened	space	york	city	law	large	tv	during	image	camera	system	version	available	events	editor	according	facebook	series	sunday	save	c	donald	began	decade	latest	outside	year	ever	season	told	state	network	robert	creating	original	sign	face	away	instead	event	stop	whose	boy	edition	netflix	watch	close	content	visit	leaving	hot	kids	music	play	call	office	started	cover	decided	amp	saying	got	email	college	business	seen	wasn	earth	head	finally	following	e	response	project	heart	human	tools	taking	family	life	light	tell	means	videos	youtube	check	calls	stay	miss	science	inspired	found	needs	give	changed	shows	companies	build	behind	key	platforms	director	information	center	understand	video	looking	helping	please	black	created	became	million	local	person	th	pretty	coachella	provide	amazing	remember	months	internet	rules	continue	quite	worked	dogs	attacks	running	done	follow	become	language	within	review	helped	led	nearly	under	word	reasons	hope	month	water	story	readers	seattle	james	among	notes	amazon	cut	earlier	spent	speaking	wanted	piece	worst	self	sense	felt	failure	writing	article	super	money	terms	writers	tells	explain
Copyblogger	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	10	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
Latest from Crooks and Liars	0	0	3	0	5	0	1	0	2	0	4	0	1	2	0	0	0	0	0	5	4	1	3	1	1	0	0	2	0	1	0	0	0	1	0	0	0	2	0	5	1	0	1	1	0	2	1	1	0	0	0	0	1	0	0	0	2	2	0	0	1	0	0	1	4	0	1	1	2	2	0	1	0	1	6	0	0	0	0	1	3	0	0	1	0	1	0	0	4	0	0	1	0	0	1	0	1	1	0	1	0	1	4	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	6	0	0	0	2	4	0	1	2	0	2	0	2	0	0	2	1	0	0	0	1	0	0	0	9	0	2	4	2	2	0	1	1	0	2	0	13	0	1	2	0	0	3	0	0	1	0	0	2	0	0	1	0	0	0	0	4	4	0	0	0	0	14	0	0	6	1	2	0	3	8	17	0	1	0	0	1	0	1	2	20	1	3	0	1	1	1	1	0	0	1	0	1	0	0	0	3	2	0	0	2	4	12	1	1	0	0	3	2	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	0	2	1	0	0	0	0	2	2	0	0	1	0	0	0	2	0	0	0	2	0	1	1	0	0	0	8	0	1	0	0	2	0	3	0	2	0	2	0	1	0	4	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	4	0	0	2	1	0	0	0	0	0	0	1	0	1	1	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	5	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	2	0	0	0	1	0	0	0	0	0	0	3	0	0	7	1	0	0	0	0	0	1	0	2	2	4	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	1	1	0	3	0	0	2	0	0	0	0	2	4	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	4	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	4	0	0	0	1	0	0	1	0	2	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	2	1	0	2	0	2	0	0	0	0	0	0	0	2
Deadspin	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	2	0	0	0	1	1	0	2	1	0	0	0	0	1	1	3	1	0	0	0	0	1	1	0	0	2	0	0	0	0	1	1	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	4	1	3	2	0	1	0	1	0	0	11	0	0	0	0	3	1	1	2	0	0	2	0	1	1	0	0	3	0	1	1	0	3	0	0	3	1	0	0	0	0	1	1	1	1	0	4	0	0	0	0	0	0	0	1	2	1	2	0	0	0	0	0	0	1	0	0	1	0	0	5	0	0	1	0	0	1	1	1	0	0	0	0	1	2	0	3	3	0	1	0	0	0	3	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	22	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	1	1	1	0	0	0	1	0	0	0	0	4	7	0	2	0	1	0	4	0	1	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	8	0	0	0	0	1	4	0	2	1	0	0	2	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	5	1	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	7	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	4	2	2	1	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	0	2	0	0	2	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	2	2	1	2	0	1	0	1	2	3	4	2	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	2	3	0	0	2	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	1	0	2	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0
Engadget RSS Feed	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	3	0	1	2	1	4	3	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	4	0	0	1	1	0	1	1	0	0	0	0	0	0	2	0	1	0	3	1	0	1	1	1	4	1	0	1	2	0	1	0	0	0	1	0	0	4	1	0	0	0	1	2	0	2	1	0	1	1	3	1	2	2	1	0	3	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	5	1	8	0	0	0	2	1	0	1	3	1	1	0	2	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	3	0	2	3	1	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	4	1	0	0	0	1	2	0	0	0	0	0	2	0	0	0	2	1	1	1	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	3	2	0	3	0	0	1	0	0	4	0	0	1	1	0	1	1	2	4	4	1	1	1	2	0	0	0	0	1	0	0	0	2	1	2	0	1	0	1	0	0	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	0	3	0	1	0	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	6	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	0	1	2	1	2	2	0	1	1	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	3	1	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	3	0	4	1	0	0	0	1	2	0	2	0	0	0	0	1	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gothamist	0	0	0	0	1	0	0	5	0	1	0	1	2	3	2	6	0	1	0	1	1	0	1	0	2	0	1	1	0	3	2	0	0	3	0	1	0	4	1	1	2	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	2	4	1	1	0	2	0	0	0	1	2	0	0	3	0	1	0	0	3	0	1	0	0	2	0	3	6	2	1	8	0	0	0	0	0	1	2	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	2	0	2	1	0	1	1	1	0	0	3	2	0	0	0	1	2	0	0	1	0	0	0	2	2	1	0	0	0	0	1	0	2	0	3	2	0	0	4	2	0	1	3	1	6	0	0	0	1	0	0	0	0	3	0	1	0	0	3	5	1	0	1	0	1	1	0	0	3	0	3	6	4	0	0	0	0	5	1	0	6	0	0	0	1	1	3	0	3	1	2	2	2	3	0	0	1	0	3	2	0	0	0	0	0	1	1	7	2	0	0	0	2	2	3	2	4	1	2	2	1	0	0	1	2	0	0	1	1	0	4	2	1	0	0	0	0	0	3	4	0	1	1	0	3	0	0	3	0	2	1	2	0	0	0	0	0	1	2	0	0	3	0	1	0	0	1	0	1	4	3	0	0	1	0	0	0	0	2	1	0	2	1	0	0	4	0	0	0	1	1	1	1	0	2	0	0	1	0	4	1	0	1	0	0	0	4	0	3	0	0	0	0	1	2	0	1	0	1	0	0	1	1	0	1	0	0	0	0	2	0	0	0	1	0	0	2	1	0	0	1	1	0	8	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	2	0	1	3	0	1	1	3	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	4	0	0	0	2	3	0	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	8	17	3	0	0	1	0	0	5	0	0	0	0	3	0	3	1	0	0	0	1	1	4	0	6	4	1	0	8	0	0	0	0	1	1	2	1	0	1	3	3	0	5	4	0	1	0	0	1	0	1	0	0	2	0	0	2	0	0	5	0	2	0	0	0	0	0	0	5	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	2	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	2	0	3	0	1	0	2	0	0	3	1	1	2	1	3	0	0	0	1	0	2	0	1	1	2	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
Joel on Software	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1
Kotaku	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	1	1	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	2	1	2	2	1	1	1	4	0	1	2	1	0	1	0	1	0	0	0	5	0	3	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	0	1	2	0	0	2	1	6	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	2	0	0	1	2	0	0	22	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	2	2	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	2	1	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	3	0	0	2	0	0	0	0	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	4	1	0	0	1	0	0	0	0	0	0	0	1	0	3	2	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	9	1	1	3	6	0	0	0	0	2	0	0	1	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	4	2	3	0	0	2	1	0	2	1	1	0	0	0	0	1	0	2	1	1	2	0	0	0	2	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
kottke.org	2	1	1	1	1	7	1	21	2	8	15	2	10	15	4	12	4	3	2	8	7	14	18	2	9	1	1	11	5	9	5	3	1	16	3	1	1	3	5	1	0	1	0	9	0	9	1	2	1	11	3	13	9	4	5	4	18	7	3	2	3	2	2	10	17	6	6	5	14	5	8	9	1	3	33	5	3	3	4	11	8	3	6	2	2	23	1	1	13	4	0	2	1	3	16	0	2	1	4	15	5	6	5	2	0	7	0	1	7	0	7	4	0	3	7	6	4	1	4	19	8	2	1	4	0	2	2	16	5	8	2	13	4	9	7	9	0	2	7	5	3	9	1	5	6	4	1	0	5	6	5	3	10	15	2	5	4	2	17	21	0	4	6	6	0	2	2	1	2	6	1	2	3	6	2	6	2	2	2	4	2	1	7	15	9	2	37	17	0	13	0	14	0	8	4	16	5	3	4	3	3	0	7	10	5	0	6	4	3	3	6	2	2	7	2	4	0	1	2	1	7	0	20	35	14	0	1	6	4	14	6	8	5	1	11	2	2	2	18	3	1	1	1	0	2	5	4	10	3	3	2	0	3	5	2	1	3	8	0	8	4	4	9	6	1	1	4	2	2	4	8	0	2	5	7	194	32	4	4	6	3	8	3	1	10	17	0	2	9	8	5	3	1	2	14	0	0	3	4	2	0	6	2	7	0	5	3	5	1	3	1	3	4	2	7	2	4	4	2	0	0	6	2	0	10	2	2	1	8	6	1	3	3	6	9	3	1	3	0	2	1	3	0	1	10	5	13	0	7	5	1	4	8	1	0	12	0	0	37	2	0	2	7	1	5	0	8	2	0	3	1	1	5	3	3	1	1	0	3	2	3	10	3	0	3	7	1	13	0	0	0	11	4	2	1	2	4	0	1	0	4	2	4	0	0	1	0	2	4	3	1	5	5	9	2	21	5	4	3	3	1	1	3	2	1	1	4	5	3	5	2	7	0	5	5	3	3	1	9	2	2	0	1	8	2	2	0	0	2	0	2	3	2	1	12	6	4	10	1	0	2	1	2	2	4	3	3	2	2	6	0	2	2	2	2	0	0	1	2	0	15	2	0	2	2	3	0	0	0	4	1	7	1	2	2	2	4	2	2	3	2	8	2	8	1	1	1	11	5	3	3	0	1	2	1	2	2	3	3	5	0	4	1	1	0	1	2	0	0	1	4	4	2	20	5	2	2	19	5	12	6	3	3	10	3	4	2	2	0	0	1	1	2	4	1	6	1	0	3	1	7	3	3	2	3	4	0	5	4	1	1	0	5	13	0	0	0	3	2	3	4	1	4	2	4	6	1	4	7	1	6	1	0	4	4	3	2	3	1
Lifehack - Feed	0	0	0	0	0	2	0	3	2	0	0	0	2	1	0	4	2	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	3	0	0	0	1	0	2	1	0	0	1	1	1	2	0	0	0	1	1	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	0	0	2	0	0	0	2	0	0	0	1	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	10	0	2	0	0	2	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0
Lifehacker	0	1	0	0	1	1	0	1	0	3	2	0	2	1	1	1	0	0	0	1	2	3	1	1	0	0	0	1	0	2	1	0	0	3	0	0	1	2	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	2	0	2	0	4	1	0	4	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	2	0	0	0	2	0	1	0	1	0	2	2	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	2	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	2	0	0	1	0	0	3	0	0	3	2	0	1	0	0	0	0	2	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	1	0	3	0	25	0	1	0	1	0	0	0	0	2	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0	1	0	0	0	2	1	0	1	1	1	0	0	0	0	1	2	4	0	0	0	1	2	0	1	1	0	0	0	4	1	2	0	1	0	4	1	1	2	0	2	1	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	3	0	1	0	3	0	0	0	0	0	3	4	1	0	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	5	1	6	3	0	0	0	1	0	1	0	1	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	2	5	1	0	0	0	0	1	0	0	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	0	1	2	2	1	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	2	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
